,index,id,attach_dist,is_attached,is_contained,is_matched,match_ids,match_overlaps,reco_primary_pix,reco_total_pix,reco_primary_deposition,reco_total_deposition,true_primary_pix,true_total_pix,true_primary_deposition,true_total_deposition,ke,true_ke
96,43,6,0.42421444001344266,False,True,True,[29],[0.7222222],13,13,4.636995792388916,4.636995792388916,18,18,7.302062511444092,7.302062511444092,5.730863094329834,23.457560517685266
97,44,45,0.29998779296875,True,False,True,[73 10],[0.8865248  0.00094518],129,129,31.570236206054688,31.570236206054688,137,137,26.665023803710938,26.665023803710938,39.01765823364258,37.640408118413106
98,45,20,0.2999267578125,True,True,True,[29 25],[0.54320985 0.12149533],53,107,13.500718116760254,32.43922424316406,117,143,31.784273147583008,39.89226531982422,40.09164047241211,43.620722118511694
99,45,103,0.29998779296875,True,False,True,[65],[0.375],152,152,35.45623779296875,35.45623779296875,-1,-1,-1.0,-1.0,43.82036590576172,-1.0
100,45,105,1.5297154308103145,True,True,True,[97],[0.8965517],139,139,31.546241760253906,31.546241760253906,136,136,28.25217056274414,28.25217056274414,38.98800277709961,30.649025859131964
101,46,7,0.29998779296875,True,False,True,[73  2],[0.625      0.00975081],107,107,22.071123123168945,22.071123123168945,88,88,21.149089813232422,21.149089813232422,27.27770233154297,29.191548067685176
102,46,59,0.2999267578125,True,True,True,[40 12],[8.2432431e-01 3.1240238e-04],32,138,6.55607795715332,27.25419044494629,35,132,6.785192012786865,29.83513832092285,33.68345642089844,32.54094354933201
103,46,73,1.5,True,False,True,[76],[0.8888889],24,24,7.231966972351074,7.231966972351074,27,27,7.980160236358643,7.980160236358643,8.93798828125,9.111837806826438
104,47,0,0.29998779296875,True,True,True,[55 13],[0.72789115 0.00080743],103,118,18.98229217529297,22.267465591430664,108,136,25.200437545776367,32.94038391113281,27.520360946655273,44.20935211616453
105,47,60,0.3000030517578125,True,False,True,[89],[0.91366905],107,130,27.3565616607666,36.47209930419922,114,136,23.34897232055664,31.630084991455078,45.075870513916016,40.89803578604856
106,47,62,0.29998779296875,True,False,True,[90  1],[0.71428573 0.00562588],83,97,18.43645668029785,26.425670623779297,83,83,25.351192474365234,25.351192474365234,32.659488677978516,33.99360696472238
107,48,31,inf,False,True,True,[102],[0.7718121],122,122,30.062240600585938,30.062240600585938,132,142,32.221771240234375,35.063682556152344,37.15392303466797,45.5774256283631
108,48,83,0.29998779296875,True,True,True,[63 22],[0.74698794 0.01      ],83,148,20.573741912841797,37.77213668823242,69,142,14.804851531982422,31.356704711914062,46.682586669921875,45.09032371329665
109,48,98,0.4242468053627785,True,False,True,[115],[0.8636364],78,78,23.99726676940918,23.99726676940918,86,86,19.091934204101562,19.091934204101562,29.658222198486328,28.917846064396784
110,49,49,0.3000030517578125,True,False,True,[117],[0.7933884],104,104,35.84824752807617,35.84824752807617,113,113,34.33831787109375,34.33831787109375,44.30485153198242,40.03720059470726
111,49,99,0.89996337890625,True,False,True,[100],[0.85142857],123,161,32.335693359375,43.43675994873047,120,163,27.870033264160156,35.92751693725586,53.683494567871094,45.504494589345306
112,49,102,1.341654434375713,True,True,True,[118],[0.8153846],59,59,18.968679428100586,18.968679428100586,59,59,22.092927932739258,22.092927932739258,23.443391799926758,39.15409976149304
113,50,2,0.2999267578125,True,True,True,[70],[0.76],80,89,18.542598724365234,21.591567993164062,87,87,18.95793914794922,18.95793914794922,26.685020446777344,27.779718232776098
114,50,5,0.29999542236328125,True,True,True,[29],[0.75510204],41,41,9.372091293334961,9.372091293334961,45,45,12.127900123596191,12.127900123596191,11.582967758178711,12.684754890049232
115,50,50,0.300048828125,True,False,True,[63],[0.62765956],73,73,19.77365493774414,19.77365493774414,80,80,15.517424583435059,15.517424583435059,24.438261032104492,21.563813383182577
116,51,15,0.29998779296875,True,True,True,[108],[0.7536232],5,58,2.6022520065307617,13.228495597839355,11,63,1.9840513467788696,12.430428504943848,16.349098205566406,29.25729798088747
117,51,28,0.29998779296875,False,True,True,[56 23],[0.7762238  0.00090131],121,122,27.67300033569336,28.244915008544922,122,132,22.493967056274414,26.30176544189453,34.90789031982422,36.20376796873012
118,51,32,0.29998779296875,True,False,True,[68 17],[0.872449   0.00317965],183,183,34.81648254394531,34.81648254394531,184,184,40.46593475341797,40.46593475341797,43.029693603515625,47.056463989752
119,51,79,1.2368665550236628,True,False,True,[43],[0.8562874],119,155,37.35585021972656,53.33718490600586,117,155,29.11725616455078,41.291908264160156,65.91942596435547,51.0114137601686
120,51,91,0.29998779296875,True,True,True,[57 22],[0.87777776 0.00198807],84,84,30.996055603027344,30.996055603027344,85,85,34.4390754699707,34.4390754699707,38.30802536010742,48.39818848416957
121,51,93,0.29998779296875,True,False,True,[72 15],[0.6859504 0.0041425],97,97,31.30462074279785,31.30462074279785,95,107,30.827770233154297,34.181297302246094,38.68938064575195,45.098870849834356
122,52,45,0.29998779296875,True,False,True,[73],[0.8783784],66,66,16.483524322509766,16.483524322509766,0,73,0.0,16.982147216796875,20.37198829650879,26.69089926667704
123,53,23,1.20001220703125,False,True,True,[29],[0.7244898],78,78,21.120742797851562,21.120742797851562,91,91,27.01242446899414,27.01242446899414,26.103126525878906,47.558082206774245
124,53,29,0.29998779296875,True,False,True,[94],[0.79888266],150,150,32.72425079345703,32.72425079345703,172,172,32.242164611816406,32.242164611816406,40.443904876708984,35.43304514999856
125,53,31,0.3000030517578125,True,True,True,[88],[0.71875],79,79,19.014772415161133,19.014772415161133,86,86,18.63795280456543,18.63795280456543,23.50035858154297,30.175802722794824
126,53,104,inf,False,False,True,[40],[0.7105263],92,92,22.50132179260254,22.50132179260254,0,103,0.0,21.2932071685791,27.809385299682617,26.404735751349286
127,54,28,0.2999267578125,True,True,True,[46 20],[8.627451e-01 5.917160e-04],80,96,14.062662124633789,17.812992095947266,78,94,15.382880210876465,19.61614227294922,22.015077590942383,24.34738665207955
128,55,55,0.300048828125,True,True,True,[141   0],[0.66071427 0.00276052],47,47,16.713424682617188,16.713424682617188,46,46,11.442488670349121,11.442488670349121,20.6561222076416,13.99846616493367
129,55,59,0.300018310546875,True,True,True,[56 23],[0.84732825 0.01169591],119,119,31.723995208740234,31.723995208740234,123,123,26.120288848876953,26.120288848876953,39.20768737792969,35.15165419015235
130,56,24,0.29998779296875,True,True,True,[66  5],[0.76666665 0.02212389],139,140,40.149375915527344,40.33026885986328,125,125,27.73705291748047,27.73705291748047,49.844181060791016,41.40996082409567
131,56,26,0.29998779296875,True,True,True,[69],[0.858156],128,128,38.142608642578125,38.142608642578125,134,134,34.864219665527344,34.864219665527344,47.14045333862305,37.2890108313175
132,56,66,inf,False,False,True,[40],[0.56626505],52,52,12.74854564666748,12.74854564666748,78,78,14.51251220703125,14.51251220703125,15.755928039550781,30.42960590536391
133,57,4,0.29998779296875,True,False,True,[50 17],[0.875      0.00175593],135,169,35.94542694091797,45.710636138916016,130,161,32.62977600097656,42.575233459472656,56.493778228759766,49.53229933186042
134,57,94,0.3000030517578125,True,True,True,[96],[0.8333333],87,87,22.392667770385742,22.392667770385742,89,89,19.068761825561523,19.068761825561523,27.675098419189453,24.63321796716614
135,57,96,0.2999267578125,True,True,True,[68 14],[0.704918   0.00296384],59,59,13.48092269897461,13.48092269897461,45,45,10.380772590637207,10.380772590637207,16.661073684692383,10.562443437516027
136,57,98,0.4242036491853643,True,False,True,[67],[0.80263156],66,66,17.16603660583496,17.16603660583496,71,71,13.904311180114746,13.904311180114746,21.215505599975586,31.799116832198756
137,58,10,0.29998779296875,True,True,True,[47],[0.77835053],108,171,15.950145721435547,30.5156192779541,112,174,19.44480323791504,33.80586242675781,37.714256286621094,39.590685155287986
138,58,12,0.2999267578125,True,True,True,[39],[0.7074468],105,154,18.34808921813965,25.481914520263672,167,167,34.661651611328125,34.661651611328125,31.493099212646484,44.12753529059838
