,index,id,attach_dist,is_attached,is_contained,is_matched,match_ids,match_overlaps,reco_primary_pix,reco_total_pix,reco_primary_deposition,reco_total_deposition,true_primary_pix,true_total_pix,true_primary_deposition,true_total_deposition,ke,true_ke
151,67,24,0.3000030517578125,True,True,True,[81],[0.14814815],4,4,2.0247445106506348,2.0247445106506348,-1,-1,-1.0,-1.0,2.5023818016052246,-1.0
152,67,26,0.3000030517578125,True,False,True,[83],[0.73376626],137,137,29.075702667236328,29.075702667236328,130,130,24.865413665771484,24.865413665771484,35.934661865234375,33.377113442527786
153,67,97,0.60003662109375,True,False,True,[115],[0.72727275],53,89,24.852088928222656,40.701316833496094,65,101,24.47802734375,34.643245697021484,50.30276107788086,48.741295036749364
154,67,101,0.29998779296875,True,False,True,[109],[0.74766356],87,96,28.35872459411621,33.219573974609375,91,91,22.21800422668457,22.21800422668457,41.05607223510742,30.652817352766522
155,67,119,0.29998779296875,True,True,True,[74 27],[0.8207547  0.00246914],96,96,30.482044219970703,30.482044219970703,97,97,23.122936248779297,23.122936248779297,37.672760009765625,30.301904074756564
156,68,6,0.2999267578125,True,True,True,[29 25],[7.266667e-01 2.792516e-04],76,124,19.228511810302734,34.721927642822266,92,135,27.39661979675293,43.042259216308594,42.9128303527832,49.30973193480687
157,68,16,0.29998779296875,True,True,True,[89  7],[0.84782606 0.00304723],129,129,32.60247802734375,32.60247802734375,126,126,30.231048583984375,30.231048583984375,40.29340362548828,35.187505208818536
158,70,44,inf,False,True,True,[94],[0.7403315],96,141,23.118824005126953,35.753814697265625,0,174,0.0,37.813575744628906,44.188140869140625,57.00703101744739
159,70,147,0.734823251343688,False,True,True,[37],[0.08849557],34,74,8.558018684387207,15.903719902038574,-1,-1,-1.0,-1.0,19.65540885925293,-1.0
160,70,167,0.300048828125,True,True,True,[73],[0.79545456],154,154,38.71891784667969,38.71891784667969,162,162,35.8199462890625,35.8199462890625,47.85271072387695,44.61227500839798
161,70,169,0.2999267578125,True,False,True,[58],[0.8562874],151,151,28.815671920776367,28.815671920776367,159,159,32.37369918823242,32.37369918823242,35.61328887939453,51.52929784640676
162,71,38,0.300018310546875,True,False,True,[108],[0.07166124],23,23,5.766181468963623,5.766181468963623,-1,-1,-1.0,-1.0,7.1264238357543945,-1.0
163,71,108,0.3000030517578125,True,True,True,[124],[0.73880595],94,100,29.51212501525879,31.78028106689453,119,133,31.758636474609375,35.339813232421875,39.277252197265625,40.96269643137669
164,71,111,0.29998779296875,True,False,True,[104],[0.1632653],9,9,2.669027328491211,2.669027328491211,-1,-1,-1.0,-1.0,3.2986509799957275,-1.0
165,72,21,0.29998779296875,True,False,True,[30],[0.6666667],57,59,9.316291809082031,10.050702095031738,66,66,11.06729507446289,11.06729507446289,12.421663284301758,15.312658846323817
166,72,25,0.2999267578125,True,True,True,[71],[0.5279503],110,110,33.55747985839844,33.55747985839844,136,136,31.25913429260254,31.25913429260254,41.473690032958984,37.88254748531253
