,index,id,attach_dist,is_attached,is_contained,is_matched,match_ids,match_overlaps,primary_pix,total_pix,primary_deposition,total_deposition,ke
71,31,157,0.3000030517578125,True,False,True,[120 123],[0.8061224  0.00147493],90,90,21.928298950195312,21.928298950195312,32.98663466179482
72,32,31,0.3000030517578125,True,True,True,[96 97],[0.8243243 0.002772 ],69,69,18.725269317626953,18.725269317626953,27.231530619491274
73,32,44,0.2999267578125,True,True,True,[16 45 17],[0.63135594 0.2027027  0.01100244],206,217,41.152530670166016,47.156951904296875,54.356982803849256
74,33,66,0.29998779296875,True,True,True,[1 3],[8.424242e-01 6.119951e-04],69,150,19.259187698364258,44.17549133300781,49.05536716412639
75,34,34,0.3000030517578125,True,False,True,[20 21],[0.49264705 0.02261554],120,120,32.10075378417969,32.10075378417969,48.978168320012514
76,34,39,0.3000030517578125,True,True,True,[14],[0.7380952],23,35,5.689661026000977,9.017659187316895,39.69963742438694
77,34,62,0.2999267578125,True,True,True,[41 42],[0.6963351  0.00982801],156,170,28.365440368652344,34.06692123413086,43.60091763905444
78,35,48,1.5,True,True,True,[8],[0.85384613],48,119,20.25735855102539,39.726158142089844,46.847029139285056
79,35,51,0.29998779296875,True,True,True,[41 42],[0.78145695 0.00191939],12,143,1.8901238441467285,33.263267517089844,42.68231011348352
80,35,78,0.29998779296875,True,True,True,[11 12],[0.81       0.00342466],184,184,33.527076721191406,33.527076721191406,45.823053362018825
81,35,79,0.4242468053627785,True,False,True,[43 45 44],[0.7641509  0.05555556 0.01535088],102,102,33.16191482543945,33.16191482543945,47.80526838887368
82,35,98,0.2999267578125,True,True,True,[84 86],[0.8611111  0.00157109],100,100,21.145755767822266,21.145755767822266,24.616316797858353
83,36,53,0.600006103515625,True,True,True,[5 8],[8.181818e-01 5.543237e-04],11,11,5.83010721206665,5.83010721206665,7.385610539782654
84,36,77,0.29998779296875,True,True,True,[79],[0.8181818],111,111,22.075273513793945,22.075273513793945,50.081447089899434
85,37,28,0.4242575950931961,False,True,True,[2],[0.7844523],161,250,33.08869934082031,62.85285568237305,83.28545716252715
86,37,34,0.2999267578125,True,True,True,[53],[0.01201923],35,35,6.29685640335083,6.29685640335083,8.50557674868279
87,37,35,0.3000030517578125,True,True,True,[25 26 27],[0.8888889  0.04444445 0.003861  ],70,89,18.821781158447266,24.255626678466797,39.003707197913926
88,37,65,0.3000030517578125,True,False,True,[31],[0.736],34,108,11.840835571289062,41.275699615478516,52.27369689359739
89,37,66,0.29998779296875,True,True,True,[77 78],[0.89171976 0.00130719],148,148,35.78019714355469,35.78019714355469,38.856011981143354
90,38,58,0.2999267578125,True,True,True,[67 68],[0.7818182  0.01522843],144,144,33.27495574951172,33.27495574951172,47.98097317947148
91,38,61,inf,False,True,True,[75 77 76],[0.2264151  0.06158358 0.04347826],92,92,14.713143348693848,14.713143348693848,21.027176073987622
92,39,37,0.29998779296875,True,True,True,[27],[0.19379845],39,39,8.719734191894531,8.719734191894531,42.176289549715214
93,39,60,0.300048828125,True,True,True,[95],[0.0025],1,1,0.06169965863227844,0.06169965863227844,0.6258688410658009
94,39,61,inf,False,True,True,[93 95],[0.88235295 0.0101833 ],96,96,23.16985321044922,23.16985321044922,25.47796717170223
95,39,69,1.5588439649285821,True,False,True,[86],[0.92771083],80,80,19.391813278198242,19.391813278198242,52.29198208387919
96,39,73,0.29998779296875,True,True,True,[83 85],[0.8088235  0.00302115],127,127,22.6024227142334,22.6024227142334,29.70976197473203
97,39,79,0.2999267578125,True,True,True,[88 89],[0.7923077  0.01025641],125,125,25.298015594482422,25.298015594482422,27.701592056081488
98,39,88,0.300048828125,True,True,True,[90 92 91],[0.77165353 0.09677419 0.00222883],122,122,37.93181228637695,37.93181228637695,49.98589605155418
99,39,98,0.29998779296875,True,False,True,[31 34],[0.74863386 0.00156299],122,160,24.13522720336914,38.73875427246094,49.088127423177816
100,40,75,0.2999267578125,True,True,True,[74],[0.88414633],156,156,39.965248107910156,39.965248107910156,44.52103392358103
101,40,76,0.2999267578125,True,True,True,[72 73],[0.6076923  0.00797872],103,103,20.598785400390625,20.598785400390625,22.360936008181728
102,40,85,0.2999267578125,True,True,True,[19 20],[0.73109245 0.00884956],80,115,23.67858123779297,33.015933990478516,43.784527310474466
103,41,73,0.29998779296875,True,True,True,[2 3],[0.78365386 0.00109649],126,187,22.39689064025879,36.97119140625,49.56998238471184
104,41,81,0.3000030517578125,True,True,True,[19 20],[0.59322035 0.00089526],50,50,11.599445343017578,11.599445343017578,19.14495692250557
105,42,58,0.29998779296875,True,True,True,[0],[0.8333333],100,175,21.970924377441406,42.3505973815918,48.09242900803241
106,42,107,0.300018310546875,True,True,True,[46 47],[0.7916667  0.00915332],59,176,11.697175025939941,34.61583709716797,41.221361986876374
107,42,120,0.29998779296875,True,True,True,[ 9 10],[0.7846154  0.00262985],138,179,28.155370712280273,37.25354766845703,42.964571111050155
